,Date,Open,High,Low,Close,Adj Close,Volume
3217,"Nov 6, 2015",388.05,395.84,354.02,374.47,374.47,"122,687,000"
3218,"Nov 5, 2015",408.08,447.56,374.58,386.35,386.35,"151,824,992"
3219,"Nov 4, 2015",403.66,495.56,380.55,411.56,411.56,"263,900,000"
3220,"Nov 3, 2015",361.87,417.90,357.65,403.42,403.42,"206,162,000"
3221,"Nov 2, 2015",325.94,365.36,323.21,361.19,361.19,"101,918,000"
3222,"Nov 1, 2015",315.01,327.47,311.88,325.43,325.43,"37,001,100"
3223,"Oct 31, 2015",328.51,332.78,309.25,314.17,314.17,"48,598,100"
3224,"Oct 30, 2015",313.94,334.17,313.94,328.02,328.02,"78,305,000"
3225,"Oct 29, 2015",304.32,318.17,301.82,313.86,313.86,"64,495,900"
3226,"Oct 28, 2015",293.70,306.33,293.70,304.62,304.62,"50,808,100"
3227,"Oct 27, 2015",285.18,296.21,285.01,293.79,293.79,"46,331,800"
3228,"Oct 26, 2015",283.63,285.30,280.51,285.30,285.30,"32,108,800"
3229,"Oct 25, 2015",281.45,294.06,281.45,283.68,283.68,"45,717,100"
3230,"Oct 24, 2015",276.50,281.71,276.50,281.65,281.65,"25,942,400"
3231,"Oct 23, 2015",273.65,278.68,273.54,276.50,276.50,"29,442,500"
3232,"Oct 22, 2015",266.50,276.51,266.14,274.02,274.02,"37,808,600"
3233,"Oct 21, 2015",269.31,270.77,263.84,266.27,266.27,"25,637,300"
3234,"Oct 20, 2015",263.57,270.83,263.23,269.46,269.46,"30,889,800"
3235,"Oct 19, 2015",261.86,264.82,260.95,263.44,263.44,"25,258,800"
3236,"Oct 18, 2015",270.91,271.67,260.78,261.64,261.64,"22,434,300"
3237,"Oct 17, 2015",262.75,273.58,262.37,270.64,270.64,"43,199,600"
3238,"Oct 16, 2015",254.30,266.14,253.93,262.87,262.87,"35,901,500"
3239,"Oct 15, 2015",252.11,255.96,252.05,254.32,254.32,"25,223,500"
3240,"Oct 14, 2015",249.49,254.27,248.90,251.99,251.99,"27,462,600"
3241,"Oct 13, 2015",245.20,250.24,243.76,249.51,249.51,"28,198,500"
3242,"Oct 12, 2015",246.88,247.45,245.18,245.31,245.31,"17,388,300"
3243,"Oct 11, 2015",244.74,247.24,244.15,247.05,247.05,"16,827,300"
