Open,High,Low,Close,Volume,Change
266.18,266.23,262.84,264.08,27685500,-0.86
264.13,267.47,261.48,265.68,27091200,0.61
265.53,266.67,261.3,261.55,19321100,-1.55
261.87,262.44,257.04,258.51,29717000,-1.16
258.49,260.51,257.12,257.98,21617900,-0.21
257.93,257.99,211.08,211.08,42147200,-18.18
225.67,237.41,222.77,226.68,60869200,7.39
226.9,237.37,226.9,235.35,32275000,3.82
235.35,236.43,231.72,232.57,23173800,-1.18
232.66,234.96,222.7,230.39,23205900,-0.94
230.38,232.71,225.58,228.17,18406600,-0.96
228.11,228.14,210.44,210.49,59220700,-7.75
210.07,226.32,199.57,221.61,61089200,5.28
222.08,231.18,220.2,225.83,31808000,1.9
226.05,228.64,223.68,224.77,21905400,-0.47
224.7,235.22,220.93,231.4,31336600,2.95
231.55,233.22,227.33,229.78,17142500,-0.7
229.9,232.07,226.25,228.76,19412600,-0.44
229.11,231.96,225.91,230.06,20710700,0.57
230.26,231.22,226.86,228.12,20575200,-0.84
228.03,230.58,226.48,229.28,18760400,0.51
229.32,229.6,226.67,227.18,17482000,-0.92
227.21,230.9,227.05,230.3,20962400,1.37
230.2,236.14,229.44,235.02,20671400,2.05
234.87,242.91,234.68,239.84,25473700,2.05
239.93,242.11,238.72,239.85,21192200,0.0
239.85,245.78,239.68,243.61,26879200,1.57
243.41,244.42,237.82,238.17,23635700,-2.23
238.34,241.29,235.79,238.48,21215500,0.13
238.33,241.17,238.33,240.11,19224700,0.68
239.85,240.12,234.75,235.23,17962600,-2.03
235.24,235.93,229.33,230.51,18478800,-2.01
230.61,232.44,227.96,230.64,20997800,0.06
230.49,259.18,229.82,230.3,19177800,-0.15
230.25,231.21,227.4,229.09,20144200,-0.53
229.08,230.29,228.93,229.81,18935400,0.31
233.52,234.35,232.18,232.98,20242200,1.38
232.86,233.21,231.09,231.49,12712600,-0.64
231.4,232.37,230.91,231.21,14444700,-0.12
231.22,231.22,226.52,227.09,19678800,-1.78
226.97,232.39,225.12,230.62,25009300,1.55
230.94,231.84,229.59,230.28,17254100,-0.15
230.36,235.65,230.29,234.53,25097800,1.85
234.36,237.43,233.68,235.14,22363600,0.26
235.08,235.4,233.36,234.34,13724100,-0.34
234.14,234.53,232.48,232.76,14179900,-0.67
232.84,239.34,232.47,239.14,24713000,2.74
239.02,239.8,235.93,236.69,22691300,-1.02
236.64,237.73,235.63,236.06,19743500,-0.27
236.0,238.45,235.62,237.55,20488800,0.63
237.26,238.54,236.6,237.29,19677900,-0.11
237.2,239.32,236.94,238.73,16482700,0.61
238.53,238.97,237.94,238.26,12999000,-0.2
238.15,240.38,237.04,240.38,23335900,0.89
240.36,246.93,240.14,246.06,27535100,2.36
246.17,246.68,242.59,242.97,22999200,-1.26
243.07,244.25,242.18,242.3,18515300,-0.28
242.5,244.23,242.12,243.93,17353100,0.67
243.74,245.32,243.07,244.94,15912700,0.41
244.74,247.24,244.15,247.05,16827300,0.86
246.88,247.45,245.18,245.31,17388300,-0.7
245.2,250.24,243.76,249.51,28198500,1.71
249.49,254.27,248.9,251.99,27462600,0.99
252.11,255.96,252.05,254.32,25223500,0.92
254.3,266.14,253.93,262.87,35901500,3.36
262.75,273.58,262.37,270.64,43199600,2.96
270.91,271.67,260.78,261.64,22434300,-3.33
261.86,264.82,260.95,263.44,25258800,0.69
263.57,270.83,263.23,269.46,30889800,2.29
269.31,270.77,263.84,266.27,25637300,-1.18
266.5,276.51,266.14,274.02,37808600,2.91
273.65,278.68,273.54,276.5,29442500,0.91
276.5,281.71,276.5,281.65,25942400,1.86
281.45,294.06,281.45,283.68,45717100,0.72
283.63,285.3,280.51,285.3,32108800,0.57
285.18,296.21,285.01,293.79,46331800,2.98
293.7,306.33,293.7,304.62,50808100,3.69
304.32,318.17,301.82,313.86,64495900,3.03
313.94,334.17,313.94,328.02,78305000,4.51
328.51,332.78,309.25,314.17,48598100,-4.22
315.01,327.47,311.88,325.43,37001100,3.58
325.94,365.36,323.21,361.19,101918000,10.99
361.87,417.9,357.65,403.42,206162000,11.69
403.66,495.56,380.55,411.56,263900000,2.02
408.08,447.56,374.58,386.35,151824992,-6.13
388.05,395.84,354.02,374.47,122687000,-3.07
374.27,390.59,372.43,386.48,56625100,3.21
384.28,389.89,368.7,373.37,51817600,-3.39
374.32,385.28,362.89,380.26,68224400,1.85
379.98,381.39,329.11,336.82,95797904,-11.42
339.82,340.58,301.0,311.08,107070000,-7.64
314.08,345.08,313.36,338.15,78477800,8.7
338.5,340.91,326.08,336.75,52003000,-0.41
336.62,338.18,329.97,332.91,38612000,-1.14
333.05,334.66,317.49,320.17,44213100,-3.83
319.73,331.63,315.9,330.75,47980100,3.3
330.36,338.35,329.61,335.09,51001600,1.31
334.59,336.53,330.64,334.59,43783800,-0.15
334.68,335.33,325.27,326.15,45011100,-2.52
326.41,326.47,312.22,322.02,53152900,-1.27
322.09,328.16,319.6,326.93,28200500,1.52
326.98,327.01,321.26,324.54,23439400,-0.73
324.35,325.12,321.29,323.05,27478900,-0.46
323.01,323.06,318.12,320.05,29362600,-0.93
320.05,329.13,316.77,328.21,41666900,2.55
328.3,366.76,328.23,352.68,106105000,7.46
351.86,363.59,347.87,358.04,55179100,1.52
357.14,359.54,352.17,357.38,36816600,-0.18
357.47,371.94,355.67,371.29,40409300,3.89
371.44,382.36,370.38,377.32,71701600,1.62
377.41,378.93,356.56,362.49,60452200,-3.93
361.85,362.23,349.46,359.19,54160500,-0.91
359.33,370.27,357.41,361.05,50714900,0.52
361.26,363.52,355.76,363.18,35784100,0.59
363.72,389.79,363.23,388.95,66282200,7.1
389.55,402.81,387.09,388.78,77762000,-0.04
389.98,399.97,385.41,395.54,63455800,1.74
395.75,415.56,389.95,415.56,57801400,5.06
414.44,423.12,406.29,417.56,90917200,0.48
417.99,419.51,411.55,415.48,52138900,-0.5
415.28,451.94,415.28,451.94,110944000,8.78
452.33,469.1,410.74,435.0,131969000,-3.75
431.66,441.68,426.27,433.76,55050600,-0.29
433.27,447.14,430.46,444.18,130496000,2.4
443.88,465.32,443.88,465.32,83121104,4.76
465.21,465.21,443.85,454.93,107944000,-2.23
454.78,457.86,448.86,456.08,47978400,0.25
455.85,465.18,454.94,463.62,60220100,1.65
463.55,465.58,456.77,462.32,47892700,-0.28
462.23,462.64,434.34,442.68,75409400,-4.25
442.84,444.73,427.31,438.64,77639696,-0.91
437.44,443.69,435.52,436.57,50840400,-0.47
436.72,444.53,436.62,442.4,47161400,1.34
443.09,458.46,443.08,454.98,57157200,2.84
454.86,458.3,452.08,455.65,39078500,0.15
455.76,457.49,405.76,417.27,116166000,-8.42
416.51,424.01,408.88,422.82,53591200,1.33
423.34,429.77,418.48,422.28,49638600,-0.13
422.1,432.98,420.63,432.98,51596500,2.53
433.3,434.39,422.08,426.62,46889400,-1.47
425.88,432.92,418.73,430.57,45996600,0.93
430.72,436.25,427.52,434.33,36278900,0.87
434.62,436.06,431.87,433.44,30096600,-0.2
433.58,433.74,424.71,430.01,39633800,-0.79
430.06,434.52,429.08,433.09,38477500,0.72
433.07,434.18,429.68,431.96,34522600,-0.26
431.86,431.86,426.34,429.11,34042500,-0.66
430.01,458.77,429.08,458.05,87562200,6.74
457.54,462.93,447.94,453.23,56993000,-1.05
453.38,454.64,446.89,447.61,32278000,-1.24
448.24,448.31,440.35,447.99,35995900,0.08
448.7,450.66,443.86,448.43,40450000,0.1
448.18,448.18,435.69,435.69,115607000,-2.84
434.67,435.19,424.44,432.37,173888000,-0.76
432.29,433.32,427.85,430.31,43945500,-0.48
430.26,430.26,364.33,364.33,153351008,-15.33
365.07,390.56,354.91,387.54,120352000,6.37
387.15,390.96,380.09,382.3,45319600,-1.35
381.73,388.1,376.67,387.17,54403900,1.27
387.03,387.73,378.97,380.15,46819800,-1.81
379.74,425.27,376.6,420.23,121720000,10.54
419.63,422.88,406.3,410.26,68338000,-2.37
409.75,410.41,375.28,382.49,91546600,-6.77
382.43,394.54,381.98,387.49,56247400,1.31
388.1,405.48,387.51,402.97,54824800,3.99
402.32,402.32,388.55,391.73,59062400,-2.79
392.0,397.77,390.58,392.15,58147000,0.11
392.44,396.84,391.78,394.97,47424400,0.72
395.15,395.5,379.73,380.29,59247900,-3.72
380.11,384.38,365.45,379.47,86125296,-0.22
378.86,380.92,376.49,378.26,30284400,-0.32
378.29,380.35,367.83,368.77,37894300,-2.51
369.35,378.07,367.96,373.06,51656700,1.16
372.92,375.88,372.92,374.45,40378700,0.37
374.65,374.95,368.05,369.95,45933400,-1.2
370.17,391.61,369.99,389.59,69285504,5.31
388.9,391.09,385.57,386.55,43825000,-0.78
386.59,386.63,372.39,376.52,49249300,-2.59
376.51,380.87,374.9,376.62,37076300,0.03
376.76,379.88,373.33,373.45,47671100,-0.84
373.42,377.25,372.9,376.03,55318500,0.69
376.15,385.48,375.78,381.65,85130896,1.49
382.11,383.13,376.4,379.65,74375600,-0.52
379.69,384.95,379.6,384.26,67042800,1.21
384.64,391.86,384.64,391.86,61911700,1.98
392.93,407.23,392.93,407.23,74469800,3.92
407.57,410.38,397.75,400.18,74070496,-1.73
401.43,408.95,401.43,407.49,73093104,1.83
407.66,421.17,406.78,416.32,83193600,2.17
416.57,426.0,415.64,422.37,76752600,1.45
422.73,423.1,417.6,420.79,55711300,-0.37
421.6,441.98,421.6,437.16,93992096,3.89
437.77,448.05,429.08,438.8,89820704,0.38
438.99,439.05,432.92,437.75,85385200,-0.24
438.26,439.86,417.82,420.74,85244896,-3.89
420.96,425.55,413.91,424.95,67743696,1.0
425.04,427.72,420.42,424.54,70798000,-0.1
424.63,432.15,421.62,432.15,61486000,1.79
432.84,434.23,428.1,432.52,41893600,0.09
432.57,435.68,423.82,433.5,53033400,0.23
433.44,441.51,431.69,437.7,60694700,0.97
437.92,439.65,432.32,435.12,74895800,-0.59
435.13,435.92,423.99,423.99,74955296,-2.56
423.91,425.37,419.41,421.65,100484000,-0.55
421.84,425.18,410.94,410.94,90856096,-2.54
410.78,411.26,394.04,400.57,135384992,-2.52
400.52,411.91,395.78,407.71,91212496,1.78
407.76,415.92,406.31,414.32,85762400,1.62
414.46,416.24,411.09,413.97,70311696,-0.08
413.89,416.03,411.61,414.86,70012304,0.21
414.74,417.51,413.25,417.13,81022896,0.55
417.24,423.93,417.01,421.69,73969696,1.09
421.61,421.8,410.09,411.62,92712896,-2.39
411.65,416.6,411.64,414.07,74322800,0.6
414.2,416.68,414.2,416.44,95259400,0.57
416.39,418.13,414.98,416.83,66781700,0.09
416.89,417.69,415.91,417.01,65185800,0.04
417.89,421.0,417.89,420.62,83528600,0.87
420.55,420.55,406.14,409.55,104940000,-2.63
409.27,410.98,407.23,410.44,58423000,0.22
410.4,414.63,410.4,413.76,45947900,0.81
413.42,413.42,410.38,413.31,61655400,-0.11
413.13,418.38,412.53,418.09,66813300,1.16
418.16,419.27,417.36,418.04,61444200,-0.01
418.42,418.68,415.49,416.39,68346704,-0.39
416.51,418.08,415.56,417.18,52560000,0.19
417.36,418.99,416.26,417.95,44650400,0.18
418.14,428.8,417.71,426.77,71229400,2.11
426.55,426.86,423.29,424.23,68522800,-0.6
424.3,426.2,412.68,416.52,75411504,-1.82
416.83,416.83,412.5,414.82,66034100,-0.41
415.26,418.37,415.26,416.73,60215200,0.46
